spcd;common_name;genus;species
6082;palo de caja;Allophylus;racemosus
6061;ukall ra ngebard;Albizia;retusa
352;white alder;Alnus;rhombifolia
351;red alder;Alnus;rubra
6062;whiteflower albizia;Albizia;saponaria
6097;alstonia;Alstonia;
6084;chebeludes;Allophylus;ternatus
6085;ebeludes, chebeludes;Allophylus;timorensis
7154;brown-woolly fig;Ficus;drupacea
7155;Indian rubberplant;Ficus;elastica
7156;mati;Ficus;godeffroyi
7158;Ficus lutea;Ficus;lutea
7159;fiddleleaf fig;Ficus;lyrata
7160;Chinese banyan;Ficus;microcarpa
7162;tibig;Ficus;nota
7164;amate;Ficus;obtusifolia
7163;aoa;Ficus;obliqua
7165;aoa;Ficus;prolixa
7166;peepul tree;Ficus;religiosa
7167;Port Jackson fig;Ficus;rubiginosa
7173;jaguey;Ficus;stahlii
7174;sycamore fig;Ficus;sycomorus
7175;Chinese banyan;Ficus;thonningii
7176;mati;Ficus;tinctoria
7177;jaguey blanco;Ficus;trigonata
7178;mati;Ficus;uniauriculata
7179;higo;Ficus;virens
7190;Flueggea acidoton;Flueggea;acidoton
7188;Queensland maple;Flindersia;brayleyana
7191;poumuli;Flueggea;flexuosa
7184;governor's plum;Flacourtia;indica
7185;batoko plum;Flacourtia;inermis
7192;mehamehame;Flueggea;neowawraea
7186;filimoto;Flacourtia;rukam
7193;bushweed;Flueggea;
7194;inkbush;Forestiera;eggersiana
7198;oval kumquat;Fortunella;margarita
7195;caca ravet;Forestiera;rhamnifolia
7196;Florida swampprivet;Forestiera;segregata
541;white ash;Fraxinus;americana
540;ash ;Fraxinus;
5491;Berlandier ash;Fraxinus;berlandieriana
548;Carolina ash;Fraxinus;caroliniana
542;Oregon ash;Fraxinus;latifolia
543;black ash;Fraxinus;nigra
544;green ash;Fraxinus;pennsylvanica
545;pumpkin ash;Fraxinus;profunda
546;blue ash;Fraxinus;quadrangulata
7202;West Indian buckthorn;Frangula;sphaerosperma
549;Texas ash;Fraxinus;texensis
7206;shamel ash;Fraxinus;uhdei
547;velvet ash;Fraxinus;velutina
7207;Bolivian fuchsia;Fuchsia;boliviana
7209;fuchsia;Fuchsia;
7210;silkrubber;Funtumia;elastica
7208;shrubby fuchsia;Fuchsia;paniculata
7231;llume;Gaussia;attenuata
7224;forest gardenia;Gardenia;brighamii
7212;Gourka;Garcinia;dulcis
7229;manuai vivao;Garuga;floribunda
8299;eggfruit;Pouteria;campechiana
8297;Abiu;Pouteria;caimito
8298;elangel, chelangel;Pouteria;calcarea
7752;St. Johns melicope;Melicope;saint-johnii
8273;yucca plum pine;Podocarpus;coriaceus
8279;violet tree;Polygala;cowellii
742;eastern cottonwood;Populus;deltoides
745;plains cottonwood;Populus;deltoides
8300;cocuyo;Pouteria;dictyoneura
8275;Poitea florida;Poitea;florida
748;Fremont cottonwood;Populus;fremontii
8283;bungaruau;Polyscias;grandifolia
743;bigtooth aspen;Populus;grandidentata
8284;geranium aralia;Polyscias;guilfoylei
744;swamp cottonwood;Populus;heterophylla
8292;kattai;Ponapea;hosinoi
8301;redmammee;Pouteria;hotteana
8293;Ponapea ledermanniana;Ponapea;ledermanniana
8289;Polyscias;Polyscias;
8302;bullytree;Pouteria;multiflora
8294;Ponapea;Ponapea;
753;Lombardy poplar;Populus;nigra
8286;bngei;Polyscias;nodosa
8303;lalahag;Pouteria;obovata
8280;crevajosa;Polygala;penaea
8276;Poitea punicea;Poitea;punicea
740;cottonwood and poplar ;Populus;
8304;alaa;Pouteria;sandwicensis
8305;mammee sapote;Pouteria;sapota
8287;tagitagi;Polyscias;samoensis
8288;shield aralia;Polyscias;scutellaria
746;quaking aspen;Populus;tremuloides
8306;pouteria;Pouteria;
8311;Prestoea acuminata;Prestoea;acuminata
8315;Hawaii pritchardia;Pritchardia;affinis
769;Allegheny plum;Prunus;alleghaniensis
766;American plum;Prunus;americana
770;Chickasaw plum;Prunus;angustifolia
8316;Maui pritchardia;Pritchardia;arecina
771;sweet cherry, domesticated;Prunus;avium
8317;Kilauea pritchardia;Pritchardia;beccariana
772;sour cherry, domesticated;Prunus;cerasus
8342;jand;Prosopis;cineraria
8340;guasimilla;Prockia;crucis
773;European plum, domesticated;Prunus;domestica
7753;Mt. Kaala melicope;Melicope;sandwicensis
7799;sago palm;Metroxylon;sagu
768;bitter cherry;Prunus;emarginata
8310;Premna;Premna;
8318;Mt. Eke pritchardia;Pritchardia;forbesiana
756;honey mesquite;Prosopis;glandulosa
8319;Makaleha pritchardia;Pritchardia;hardyi
8320;loulu lelo;Pritchardia;hillebrandii
8337;pritchardia;Pritchardia;
8343;mesquite;Prosopis;juliflora
8321;Waianae Range pritchardia;Pritchardia;kaalae
8322;Lanai pritchardia;Pritchardia;lanaiensis
8323;loulu;Pritchardia;lanigera
8324;Limahuli Valley pritchardia;Pritchardia;limahuliensis
6078;lumbang;Aleurites;trisperma
6091;toi;Alphitonia;zizyphoides
357;common serviceberry;Amelanchier;arborea
6103;balsam torchwood;Amyris;balsamifera
852;sea torchwood;Amyris;elemifera
356;serviceberry ;Amelanchier;
6101;black calabash;Amphitecna;latifolia
358;roundleaf serviceberry;Amelanchier;sanguinea
6146;placa chiquitu;Antirhea;acutata
6106;anacardium;Anacardium;
6120;canelillo;Aniba;bracteata
6129;custard apple;Annona;reticulata
6137;Antidesma bunius;Antidesma;bunius
6124;Annona cherimola;Annona;cherimola
6147;pegwood;Antirhea;coriacea
6125;ilama;Annona;diversifolia
6118;dermarm;Angiopteris;evecta
853;pond-apple;Annona;glabra
6114;cabbagebark tree;Andira;inermis
6109;Anacolosa insularis;Anacolosa;insularis
6148;Antirhea inconspicua;Antirhea;inconspicua
6135;Kapua china laurel;Antidesma;kapuae
6138;Antidesma kusaiense;Antidesma;kusaiense
6149;palo iloron;Antirhea;lucida
6127;mountain soursop;Annona;montana
6128;soursop;Annona;muricata
6130;Annona;Annona;
6150;quina roja;Antirhea;obtusifolia
6107;cashew;Anacardium;occidentale
6111;Anadenanthera peregrina;Anadenanthera;peregrina
6139;ha a;Antidesma;platyphyllum
6151;Puerto Rico quina;Antirhea;portoricensis
6142;Antidesma ponapense;Antidesma;ponapense
6143;hame;Antidesma;pulvinatum
6152;Sintenis' quina;Antirhea;sintenisii
6144;Antidesma sphaerocarpum;Antidesma;sphaerocarpum
6131;sugar apple;Annona;squamosa
6145;chinalaurel;Antidesma;
6159;Alexandra palm;Archontophoenix;alexandrae
6171;breadfruit;Artocarpus;altilis
6154;parana pine;Araucaria;angustifolia
362;Arizona madrone;Arbutus;arizonica
6158;Araucaria;Araucaria;
6179;taputoi;Arytera;brackenridgei
360;madrone ;Arbutus;
6167;betelnut;Areca;catechu
6155;New Caledonia pine;Araucaria;columnaris
6166;marlberry;Ardisia;
915;other palms;Family Arecaceae;not listed above
6161;shoebutton;Ardisia;elliptica
6156;Norfolk Island Pine;Araucaria;excelsa
6162;ausubon;Ardisia;glauciflora
6157;Norfolk Island pine;Araucaria;heterophylla
6173;Artocarpus heterophyllus;Artocarpus;heterophyllus
6163;mountain marlberry;Ardisia;luquillensis
7213;lemon saptree;Garcinia;hessii
7334;fa`aili;Harpullia;arborea
7214;mangosteen;Garcinia;mangostana
7225;Oahu gardenia;Gardenia;mannii
7215;tilol;Garcinia;matsudai
7216;;Garcinia;myrtifolia
7218;palo de cruz;Garcinia;portoricensis
7217;konpuil;Garcinia;ponapensis
7221;Garcinia;Garcinia;
7227;gardenia;Gardenia;
7226;Remys gardenia;Gardenia;remyi
7219;tilol;Garcinia;rumiyo
7228;Tahitian gardenia;Gardenia;taitensis
7223;Garcinia xanthochymus;Garcinia;xanthochymus
7235;jagua;Genipa;americana
7237;arbol de Navidad;Gesneria;pedunculosa
7233;taipoipo;Geniostoma;rupestre
561;ginkgo, maidenhair tree;Ginkgo;biloba
7241;Gironniera celtidifolia;Gironniera;celtidifolia
7239;bastard gregre;Ginoria;rohrii
551;waterlocust;Gleditsia;aquatica
