tsn;genus;species;en_com_name;fr_com_name;qc_code;on_tree_code;on_alpha_code;us_code;nb_code
19113;Trophis;racemosa;white ramoon;NA;NA;NA;NA;8848;
19116;Streblus;;streblus;NA;NA;NA;NA;8671;
19178;Neraudia;melastomifolia;maaloa;NA;NA;NA;NA;7954;
19181;Pipturus;;pipturus;NA;NA;NA;NA;8207;
19194;Touchardia;;touchardia;NA;NA;NA;NA;8823;
19195;Touchardia;latifolia;olona;NA;NA;NA;NA;8822;
19204;Urera;;urera;NA;NA;NA;NA;8858;
19205;Urera;glabra;hopue;NA;NA;NA;NA;8856;
19206;Urera;kaalae;opuhe;NA;NA;NA;NA;8857;
19209;Urera;baccifera;scratchbush;NA;NA;NA;NA;8853;
19210;Urera;caracasana;flameberry;NA;NA;NA;NA;8854;
19211;Urera;chlorocarpa;ortiga;NA;NA;NA;NA;8855;
19213;Cecropia;;pumpwood;NA;NA;NA;NA;6444;
19223;Carya;;hickory ;NA;NA;NA;NA;400;
19227;Carya;cordiformis;"Bitternut hickory ;bitternut hickory";Caryer cordiforme;CAC;123;Hb;402;
19230;Carya;floridana;scrub hickory;NA;NA;NA;NA;411;
19231;Carya;glabra;"Pignut hickory ;pignut hickory";NA;NA;89;Hp;403;
19234;Carya;illinoinensis;pecan;NA;NA;NA;NA;404;
19235;Carya;laciniosa;"Big shellbark hickory ;shellbark hickory";NA;NA;93;Hl;405;
19239;Carya;myristiciformis;nutmeg hickory;NA;NA;NA;NA;406;
19242;Carya;ovata;"Shagbark hickory ;shagbark hickory";Caryer à fruits doux;CAF;124;Hs;407;
19244;Carya;pallida;sand hickory;NA;NA;NA;NA;410;
19246;Carya;texana;black hickory;NA;NA;NA;NA;408;
19247;Carya;tomentosa;Mockernut hickory;NA;NA;92;Hm;NA;
19248;Juglans;;walnut ;NA;NA;NA;NA;600;
19249;Juglans;californica;southern California black walnut;NA;NA;NA;NA;604;
19250;Juglans;cinerea;"Butternut ;butternut";Noyer cendré;NOC;55;Bn;601;
19251;Juglans;hindsii;northern California black walnut;NA;NA;NA;NA;603;
19252;Juglans;major;Arizona walnut;NA;NA;NA;NA;606;
19253;Juglans;microcarpa;Texas walnut;NA;NA;NA;NA;605;
19254;Juglans;nigra;"Black walnut ;black walnut";Noyer noir;NON;54;Wb;602;
19255;Juglans;jamaicensis;West Indian walnut;NA;NA;NA;NA;7495;
19260;Myrica;;sweetgale;NA;NA;NA;NA;7900;
19265;Myrica;gale;NA;Myrique baumier;MYG;NA;NA;NA;
19276;Quercus;;oak ;NA;NA;NA;NA;800;
19277;Quercus;falcata;southern red oak;NA;NA;NA;NA;812;
19278;Quercus;lyrata;overcup oak;NA;NA;NA;NA;822;
19279;Quercus;michauxii;swamp chestnut oak;NA;NA;NA;NA;825;
19280;Quercus;nigra;"Black oak ;water oak";NA;NA;86;Obl;827;
19281;Quercus;palustris;"Pin oak ;pin oak";NA;NA;87;Op;830;
19282;Quercus;phellos;willow oak;NA;NA;NA;NA;831;
19283;Quercus;virginiana;live oak;NA;NA;NA;NA;838;
19287;Quercus;macrocarpa;"Bur oak;mossy-cup oak ;bur oak";Chêne à gros fruits;CHG;42;Ob;823;
19288;Quercus;coccinea;scarlet oak;NA;NA;NA;NA;806;
19289;Quercus;agrifolia;California live oak;NA;NA;NA;NA;801;
19290;Quercus;alba;"White oak ;white oak";Chêne blanc;CHB;40;Ow;802;
19292;Quercus;arizonica;Arizona white oak;NA;NA;NA;NA;803;
19300;Quercus;bicolor;"Swamp white oak ;swamp white oak";Chêne bicolore;CHE;88;Osw;804;
19312;Quercus;chrysolepis;canyon live oak;NA;NA;NA;NA;805;
19322;Quercus;douglasii;blue oak;NA;NA;NA;NA;807;
19327;Quercus;ellipsoidalis;northern pin oak;NA;NA;NA;NA;809;
19328;Quercus;emoryi;Emory oak;NA;NA;NA;NA;810;
19329;Quercus;engelmannii;Engelmann oak;NA;NA;NA;NA;811;
19337;Quercus;gambelii;Gambel oak;NA;NA;NA;NA;814;
19340;Quercus;garryana;Oregon white oak;NA;NA;NA;NA;815;
19346;Quercus;gravesii;Graves oak;NA;NA;NA;NA;8511;
