"";"tsn";"genus";"species";"itis_acceptedname";"en_common";"fr_common";"us_code";"qc_code";"on_alpha_code";"on_tree_code"
"576";"19239";"Carya";"myristiciformis";"Carya myristiciformis";"nutmeg hickory";NA;406;NA;NA;NA
"577";"19242";"Carya";"ovata";"Carya ovata";"Shagbark hickory ;shagbark hickory";"Caryer à fruits doux";407;"CAF";"Hs";124
"578";NA;"Carya";"carolinae-septentrionalis";"Carya ovata var. australis";"southern shagbark hickory";NA;413;NA;NA;NA
"579";"19244";"Carya";"pallida";"Carya pallida";"sand hickory";NA;410;NA;NA;NA
"580";"19246";"Carya";"texana";"Carya texana";"black hickory";NA;408;NA;NA;NA
"581";"19247";"Carya";"tomentosa";"Carya tomentosa";"Mockernut hickory";NA;NA;NA;"Hm";92
"582";NA;"Caryota";"spp.";"Caryota";"Caryota";NA;6400;NA;NA;NA
"583";"501308";"Caryota";"mitis";"Caryota mitis";"fish tail palm";NA;6399;NA;NA;NA
"584";"506745";"Caryota";"urens";"Caryota urens";"fishtail palm";NA;6401;NA;NA;NA
"585";NA;"Casearia";"spp.";"Casearia";"Casearia";NA;6408;NA;NA;NA
"586";"501310";"Casearia";"aculeata";"Casearia aculeata";"rabo de ranton";NA;6402;NA;NA;NA
"587";"501311";"Casearia";"arborea";"Casearia arborea";"gia verde";NA;6403;NA;NA;NA
"588";"501312";"Casearia";"decandra";"Casearia decandra";"wild honeytree";NA;6406;NA;NA;NA
"589";"501313";"Casearia";"guianensis";"Casearia guianensis";"Guyanese wild coffee";NA;6407;NA;NA;NA
"590";"501314";"Casearia";"sylvestris";"Casearia sylvestris";"crackopen";NA;6410;NA;NA;NA
"591";NA;"Cassia";"spp.";"Cassia";"Cassia";NA;6422;NA;NA;NA
"592";"25749";"Cassia";"fistula";"Cassia fistula";"golden shower";NA;6415;NA;NA;NA
"593";"501316";"Cassia";"grandis";"Cassia grandis";"pink shower";NA;6417;NA;NA;NA
"594";"25753";"Cassia";"javanica";"Cassia javanica";"apple blossom";NA;6418;NA;NA;NA
"595";NA;"Cassine";"xylocarpa";"Cassine xylocarpa";"marbletree";NA;6425;NA;NA;NA
"596";"27793";"Cassipourea";"guianensis";"Cassipourea guianensis";"goatwood";NA;6427;NA;NA;NA
"597";NA;"Castanea";"spp.";"Castanea";"chestnut spp.";NA;420;NA;NA;NA
"598";"19454";"Castanea";"dentata";"Castanea dentata";"American chestnut ;American chestnut";NA;421;NA;"Cd";171
"599";"501318";"Castanea";"mollissima";"Castanea mollissima";"Chinese chestnut";NA;424;NA;NA;NA
"600";"19457";"Castanea";"pumila";"Castanea pumila";"Allegheny chinkapin";NA;422;NA;NA;NA
"601";"19457";"Castanea";"pumila";"Castanea pumila";"Ozark chinkapin";NA;423;NA;NA;NA
"602";"506541";"Castanea";"sativa";"Castanea sativa";"Sweet chestnut";NA;NA;NA;"Cs";172
"603";"28832";"Castela";"erecta";"Castela erecta";"goatbush";NA;6429;NA;NA;NA
"604";"19078";"Castilla";"elastica";"Castilla elastica";"Panama rubbertree";NA;6430;NA;NA;NA
"605";NA;"Casuarina";"spp.";"Casuarina";"sheoak spp.";NA;855;NA;NA;NA
"606";"501334";"Casuarina";"cunninghamiana";"Casuarina cunninghamiana";"river sheoak";NA;6433;NA;NA;NA
"607";"19516";"Casuarina";"equisetifolia";"Casuarina equisetifolia";"beach sheoak";NA;6434;NA;NA;NA
"608";"19517";"Casuarina";"glauca";"Casuarina glauca";"gray sheoak";NA;856;NA;NA;NA
"609";NA;"Catalpa";"spp.";"Catalpa";"catalpa spp.";NA;450;NA;NA;NA
"610";"34313";"Catalpa";"bignonioides";"Catalpa bignonioides";"southern catalpa";NA;451;NA;NA;NA
"611";"34316";"Catalpa";"longissima";"Catalpa longissima";"Haitian catalpa";NA;6439;NA;NA;NA
"612";"34315";"Catalpa";"speciosa";"Catalpa speciosa";"Northern catalpa;Indian bean ;northern catalpa";NA;452;NA;"";77
"613";NA;"Diospyros";"discolor";"Cavanillea philippensis";"Mabolo";NA;6902;NA;NA;NA
"614";NA;"Cecropia";"spp.";"Cecropia";"pumpwood";NA;6444;NA;NA;NA
"615";"501343";"Cecropia";"obtusifolia";"Cecropia obtusifolia";"trumpet tree";NA;6441;NA;NA;NA
"616";"565052";"Cecropia";"schreberiana";"Cecropia schreberiana";"pumpwood";NA;6443;NA;NA;NA
"617";"29014";"Cedrela";"odorata";"Cedrela odorata";"Spanish cedar";NA;6445;NA;NA;NA
"618";NA;"Ceiba";"acuminata";"Ceiba acuminata";"pochote";NA;6447;NA;NA;NA
"619";"21596";"Ceiba";"aesculifolia";"Ceiba aesculifolia";"pochote";NA;6448;NA;NA;NA
"620";"21595";"Ceiba";"pentandra";"Ceiba pentandra";"kapoktree";NA;6449;NA;NA;NA
"621";NA;"Chorisia";"speciosa";"Ceiba speciosa";"silk-floss tree";NA;6532;NA;NA;NA
"622";NA;"Celtis";"spp.";"Celtis";"hackberry spp.";NA;460;NA;NA;NA
"623";"19042";"Celtis";"laevigata";"Celtis laevigata";"sugarberry";NA;461;NA;NA;NA
"624";"19042";"Celtis";"laevigata";"Celtis laevigata";"netleaf hackberry";NA;463;NA;NA;NA
"625";"19040";"Celtis";"occidentalis";"Celtis occidentalis";"Hackberry ;hackberry";"Micocoulier occidental";462;"CEO";"Hk";68
"626";NA;"Celtis";"paniculata";"Celtis paniculata";"Celtis paniculata";NA;6452;NA;NA;NA
"627";"19047";"Celtis";"trinervia";"Celtis trinervia";"almex";NA;6454;NA;NA;NA
"628";"24770";"Prunus";"avium";"Cerasus avium";"sweet cherry, domesticated";NA;771;NA;NA;NA
"629";NA;"Prunus";"avium";"Cerasus avium";"Mazzard cherry;sweet cherry";NA;NA;NA;"Cm";90
"630";"504624";"Prunus";"occidentalis";"Cerasus occidentalis";"western cherry laurel";NA;8347;NA;NA;NA
"631";"24773";"Prunus";"cerasus";"Cerasus vulgaris";"sour cherry, domesticated";NA;772;NA;NA;NA
"632";NA;"Prunus";"cerasus";"Cerasus vulgaris";"Sour cherry";NA;NA;NA;"Cc";174
"633";"26531";"Ceratonia";"siliqua";"Ceratonia siliqua";"St. John's bread";NA;6457;NA;NA;NA
"634";NA;"Cerbera";"spp";"Cerbera";"Cerbera spp";NA;6463;NA;NA;NA
"635";NA;"Cerbera";"floribunda";"Cerbera floribunda";"emeridech";NA;6460;NA;NA;NA
"636";"893828";"Cerbera";"manghas";"Cerbera manghas";"leva";NA;6461;NA;NA;NA
"637";"25782";"Cercis";"canadensis";"Cercis canadensis";"Redbud ;eastern redbud";NA;471;NA;"";125
"638";"25134";"Cercocarpus";"ledifolius";"Cercocarpus ledifolius";"curlleaf mountain-mahogany";NA;475;NA;NA;NA
"639";NA;"Cereus";"spp.";"Cereus";"sweetpotato cactus";NA;6470;NA;NA;NA
"640";"501369";"Cereus";"hexagonus";"Cereus hexagonus";"lady of the night cactus";NA;6468;NA;NA;NA
"641";"565057";"Cereus";"hildmannianus";"Cereus hildmannianus";"Cereus hildmannianus";NA;6469;NA;NA;NA
"642";"507282";"Ceriops";"tagal";"Ceriops tagal";"biut";NA;6472;NA;NA;NA
"643";NA;"Cestrum";"spp.";"Cestrum";"jessamine";NA;6478;NA;NA;NA
"644";"501372";"Cestrum";"aurantiacum";"Cestrum aurantiacum";"orange jessamine";NA;6473;NA;NA;NA
"645";"30496";"Cestrum";"diurnum";"Cestrum diurnum";"day jessamine";NA;6474;NA;NA;NA
"646";"30502";"Cestrum";"laurifolium";"Cestrum laurifolium";"galen del monte";NA;6475;NA;NA;NA
"647";"30498";"Cestrum";"nocturnum";"Cestrum nocturnum";"night jessamine";NA;6477;NA;NA;NA
"648";NA;"Chamaecyparis";"spp.";"Chamaecyparis";"white-cedar spp.";NA;40;NA;NA;NA
"649";"183453";"Chamaecyparis";"lawsoniana";"Chamaecyparis lawsoniana";"Port-Orford-cedar";NA;41;NA;NA;NA
"650";"18046";"Chamaecyparis";"thyoides";"Chamaecyparis thyoides";"Atlantic white-cedar";NA;43;NA;NA;NA
"651";NA;"Chamaesyce";"articulata";"Chamaesyce articulata";"jointed sandmat";NA;6481;NA;NA;NA
"652";NA;"Chamaesyce";"atrococca";"Chamaesyce atrococca";"koko";NA;6482;NA;NA;NA
"653";NA;"Chamaesyce";"celastroides";"Chamaesyce celastroides";"ekoko";NA;6483;NA;NA;NA
"654";NA;"Chamaesyce";"kuwaleana";"Chamaesyce kuwaleana";"kokomalei";NA;6493;NA;NA;NA
"655";NA;"Chamaesyce";"olowaluana";"Chamaesyce olowaluana";"alpine sandmat";NA;6494;NA;NA;NA
"656";NA;"Chamaesyce";"rockii";"Chamaesyce rockii";"Koolau Range sandmat";NA;6495;NA;NA;NA
"657";"20788";"Charpentiera";"densiflora";"Charpentiera densiflora";"Napali coast papala";NA;6497;NA;NA;NA
"658";"20789";"Charpentiera";"elliptica";"Charpentiera elliptica";"ellipticleaf papala";NA;6498;NA;NA;NA
"659";"20790";"Charpentiera";"obovata";"Charpentiera obovata";"broadleaf papala";NA;6499;NA;NA;NA
"660";"20791";"Charpentiera";"ovata";"Charpentiera ovata";"Koolau Range papala";NA;6500;NA;NA;NA
"661";"20792";"Charpentiera";"tomentosa";"Charpentiera tomentosa";"Waianae Range papala";NA;6504;NA;NA;NA
"662";"29380";"Cheirodendron";"dominii";"Cheirodendron dominii";"Domins club";NA;6507;NA;NA;NA
"663";"29381";"Cheirodendron";"fauriei";"Cheirodendron fauriei";"Fauries club";NA;6508;NA;NA;NA
"664";"501480";"Cheirodendron";"forbesii";"Cheirodendron forbesii";"olapa";NA;6509;NA;NA;NA
"665";"29384";"Cheirodendron";"platyphyllum";"Cheirodendron platyphyllum";"lapalapa";NA;6510;NA;NA;NA
"666";"29385";"Cheirodendron";"trigynum";"Cheirodendron trigynum";"olapalapa";NA;6514;NA;NA;NA
"667";NA;"Chenopodium";"spp.";"Chenopodium";"goosefoot";NA;6518;NA;NA;NA
"668";"20640";"Chenopodium";"oahuense";"Chenopodium oahuense";"alaweo";NA;6517;NA;NA;NA
"669";"501489";"Chionanthus";"axilliflorus";"Chionanthus axilliflorus";"hueso";NA;6519;NA;NA;NA
"670";"501490";"Chionanthus";"compactus";"Chionanthus compactus";"bridgotree";NA;6520;NA;NA;NA
"671";"501492";"Chionanthus";"holdridgei";"Chionanthus holdridgei";"hueso prieto";NA;6522;NA;NA;NA
"672";"501491";"Chionanthus";"domingensis";"Chionanthus ligustrinus";"white rosewood";NA;6521;NA;NA;NA
"673";"501493";"Chionanthus";"ligustrinus";"Chionanthus ligustrinus";"cabra blanca";NA;6523;NA;NA;NA
"674";NA;"Chionanthus";"vitiensis";"Chionanthus vitiensis";"vitiensis";NA;6525;NA;NA;NA
"675";NA;"Chione";"seminervis";"Chione seminervis";"puntaj jayuya";NA;6526;NA;NA;NA
"676";"35186";"Chione";"venosa";"Chione venosa";"fatpork";NA;6528;NA;NA;NA
"677";NA;"Chlorophora";"excelsa";"Chlorophora excelsa";"african teak";NA;6529;NA;NA;NA
"678";"25148";"Chrysobalanus";"icaco";"Chrysobalanus icaco";"icaco coco plum";NA;6535;NA;NA;NA
"679";"508097";"Chrysolepis";"chrysophylla";"Chrysolepis chrysophylla";"giant chinkapin, golden chinkapin";NA;431;NA;NA;NA
"680";"501506";"Chrysophyllum";"argenteum";"Chrysophyllum argenteum";"bastard redwood";NA;6539;NA;NA;NA
"681";"23811";"Chrysophyllum";"cainito";"Chrysophyllum cainito";"star apple";NA;6541;NA;NA;NA
"682";"501507";"Chrysophyllum";"oliviforme";"Chrysophyllum oliviforme";"satinleaf";NA;6542;NA;NA;NA
"683";"501508";"Chrysophyllum";"pauciflorum";"Chrysophyllum pauciflorum";"camito de perro";NA;6543;NA;NA;NA
"684";"507517";"Cibotium";"menziesii";"Cibotium";"hapuu li";NA;6548;NA;NA;NA
"685";NA;"Cibotium";"heleniae";"Cibotium";"Hawaiian tree fern";NA;6545;NA;NA;NA
"686";NA;"Cibotium";"spp.";"Cibotium";"manfern";NA;6549;NA;NA;NA
"687";"17948";"Cibotium";"chamissoi";"Cibotium chamissoi";"Chamissos manfern";NA;6546;NA;NA;NA
"688";"17949";"Cibotium";"glaucum";"Cibotium glaucum";"hapuu";NA;6547;NA;NA;NA
"689";NA;"Cinchona";"spp.";"Cinchona";"cinchona";NA;6553;NA;NA;NA
"690";"501523";"Cinchona";"pubescens";"Cinchona pubescens";"quinine";NA;6552;NA;NA;NA
"691";NA;"Cinnamomum";"spp.";"Cinnamomum";"cinnamon";NA;6563;NA;NA;NA
"692";"501525";"Cinnamomum";"burmannii";"Cinnamomum burmannii";"Padang cassia";NA;6555;NA;NA;NA
"693";"18175";"Cinnamomum";"camphora";"Cinnamomum camphora";"camphortree";NA;858;NA;NA;NA
"694";NA;"Cinnamomum";"aromaticum";"Cinnamomum cassia";"cassia";NA;6554;NA;NA;NA
"695";"501529";"Cinnamomum";"verum";"Cinnamomum verum";"cinnamon";NA;6564;NA;NA;NA
"696";NA;"Citharexylum";"spp.";"Citharexylum";"fiddlewood";NA;6568;NA;NA;NA
"697";"32152";"Citharexylum";"caudatum";"Citharexylum caudatum";"juniper berry";NA;6565;NA;NA;NA
"698";"32155";"Citharexylum";"spinosum";"Citharexylum spinosum";"spiny fiddlewood";NA;6567;NA;NA;NA
"699";NA;"Citharexylum";"fruticosum";"Citharexylum spinosum";"Florida fiddlewood";NA;859;NA;NA;NA
"700";"32156";"Citharexylum";"tristachyum";"Citharexylum tristachyum";"threespike fiddlewood";NA;6569;NA;NA;NA
"701";NA;"Citronella";"samoensis";"Citronella samoensis";"samoensis";NA;6570;NA;NA;NA
"702";NA;"Citrus";"spp.";"Citrus";"citrus spp.";NA;860;NA;NA;NA
"703";NA;"Citrus";"aurantifolia";"Citrus aurantiifolia";"Lime (Tipolo)";NA;6572;NA;NA;NA
"704";NA;"Citrus";"xaurantiifolia";"Citrus aurantiifolia";"key lime";NA;6573;NA;NA;NA
"705";NA;"Citrus";"xaurantium";"Citrus aurantium";"sour orange";NA;6574;NA;NA;NA
"706";"825205";"Citrus";"macroptera";"Citrus combara var. macroptera";"kahet, wild orange";NA;6580;NA;NA;NA
"707";"825206";"Citrus";"hystrix";"Citrus hystrix";"limon china";NA;6579;NA;NA;NA
"708";"502644";"Fortunella";"margarita";"Citrus japonica";"oval kumquat";NA;7198;NA;NA;NA
"709";NA;"Citrus";"xlimon";"Citrus limon";"lemon";NA;6575;NA;NA;NA
"710";"501574";"Citrus";"maxima";"Citrus maxima";"Citrus maxima";NA;6581;NA;NA;NA
"711";NA;"Citrus";"grandis";"Citrus maxima";"grapefruit, kahet magas";NA;6578;NA;NA;NA
"712";"28886";"Citrus";"medica";"Citrus medica";"Citrus medica";NA;6582;NA;NA;NA
"713";NA;"Citrus";"mitis";"Citrus mitis";"calamondin, kingkang";NA;6583;NA;NA;NA
"714";"28888";"Citrus";"reticulata";"Citrus reticulata";"Citrus reticulata";NA;6584;NA;NA;NA
"715";NA;"Citrus";"xsinensis";"Citrus sinensis";"sweet orange";NA;6577;NA;NA;NA
"716";"26539";"Cladrastis";"kentukea";"Cladrastis kentukea";"yellowwood";NA;481;NA;NA;NA
"717";NA;"Claoxylon";"spp.";"Claoxylon";"claoxylon";NA;6592;NA;NA;NA
"718";"28253";"Claoxylon";"sandwicense";"Claoxylon sandwicense";"poola";NA;6591;NA;NA;NA
"719";NA;"Cleistanthus";"spp.";"Cleistanthus";"Cleistanthus";NA;6595;NA;NA;NA
"720";"34626";"Clermontia";"arborescens";"Clermontia arborescens";"oha wai nui";NA;6597;NA;NA;NA
"721";"34629";"Clermontia";"clermontioides";"Clermontia clermontioides";"Kauai clermontia";NA;6601;NA;NA;NA
"722";"34634";"Clermontia";"drepanomorpha";"Clermontia drepanomorpha";"Kohala Mountain clermontia";NA;6604;NA;NA;NA
"723";"34638";"Clermontia";"grandiflora";"Clermontia grandiflora";"bog clermontia";NA;6606;NA;NA;NA
"724";"34654";"Clermontia";"oblongifolia";"Clermontia grandiflora var. oblongifolia";"Oahu clermontia";NA;6616;NA;NA;NA
"725";"34641";"Clermontia";"hawaiiensis";"Clermontia hawaiiensis";"oha kepau";NA;6610;NA;NA;NA
"726";"34643";"Clermontia";"kakeana";"Clermontia kakeana";"forest clermontia";NA;6611;NA;NA;NA
"727";"34644";"Clermontia";"kohalae";"Clermontia kohalae";"Waipio Valley clermontia";NA;6612;NA;NA;NA
"728";"34649";"Clermontia";"micrantha";"Clermontia micrantha";"Maui clermontia";NA;6614;NA;NA;NA
"729";NA;"Clermontia";"singuliflora";"Clermontia singuliflora";"Clermontia singuliflora";NA;6627;NA;NA;NA
"730";"34667";"Clermontia";"tuberculata";"Clermontia tuberculata";"Haleakala clermontia";NA;6629;NA;NA;NA
"731";"34669";"Clermontia";"waimeae";"Clermontia waimeae";"swampforest clermontia";NA;6630;NA;NA;NA
"732";NA;"Clerodendrum";"spp.";"Clerodendrum";"glorybower";NA;6636;NA;NA;NA
"733";NA;"Clerodendrum";"aculeatum";"Clerodendrum aculeatum";"haggarbush";NA;6631;NA;NA;NA
"734";"508067";"Clerodendrum";"chinense";"Clerodendrum chinense";"stickbush";NA;6632;NA;NA;NA
"735";"32159";"Clerodendrum";"glabrum";"Clerodendrum glabrum";"Natal glorybower";NA;6633;NA;NA;NA
"736";"32160";"Clerodendrum";"indicum";"Clerodendrum indicum";"turks turbin";NA;6634;NA;NA;NA
"737";"21380";"Cleyera";"albopunctata";"Cleyera albopunctata";"teta prieta";NA;6637;NA;NA;NA
"738";"37101";"Clibadium";"erosum";"Clibadium erosum";"jackass breadnut";NA;6639;NA;NA;NA
"739";NA;"Clidemia";"cymosa";"Clidemia cymosa";"Clidemia cymosa";NA;6641;NA;NA;NA
"740";"27703";"Clidemia";"hirta";"Clidemia hirta";"soapbush";NA;6642;NA;NA;NA
"741";NA;"Exorrhiza";"ponapensis";"Clinostigma ponapense";"kotop";NA;7133;NA;NA;NA
"742";"820321";"Clitoria";"fairchildiana";"Clitoria fairchildiana";"Philippine pigeonwings";NA;6644;NA;NA;NA
"743";NA;"Clusia";"spp.";"Clusia";"attorney";NA;6652;NA;NA;NA
"744";"501595";"Clusia";"clusioides";"Clusia clusioides";"cupeillo";NA;6646;NA;NA;NA
"745";"501596";"Clusia";"gundlachii";"Clusia gundlachii";"Grundlach's attorney";NA;6648;NA;NA;NA
"746";"21488";"Clusia";"minor";"Clusia minor";"cupey de monte";NA;6650;NA;NA;NA
"747";"21490";"Clusia";"rosea";"Clusia rosea";"Scotch attorney";NA;6651;NA;NA;NA
"748";"501597";"Cnidoscolus";"aconitifolius";"Cnidoscolus aconitifolius";"treadsoftly";NA;6655;NA;NA;NA
"749";"21040";"Coccoloba";"costata";"Coccoloba costata";"uvilla";NA;6658;NA;NA;NA
"750";"21038";"Coccoloba";"diversifolia";"Coccoloba diversifolia";"tietongue, pigeon-plum";NA;863;NA;NA;NA
"751";"21041";"Coccoloba";"krugii";"Coccoloba krugii";"whitewood";NA;6660;NA;NA;NA
"752";"21042";"Coccoloba";"microstachya";"Coccoloba microstachya";"puckhout";NA;6661;NA;NA;NA
"753";"21043";"Coccoloba";"pubescens";"Coccoloba pubescens";"grandleaf seagrape";NA;6663;NA;NA;NA
"754";"21044";"Coccoloba";"pyrifolia";"Coccoloba pyrifolia";"uvera";NA;6664;NA;NA;NA
"755";"21045";"Coccoloba";"rugosa";"Coccoloba rugosa";"ortegon";NA;6665;NA;NA;NA
"756";"501599";"Coccoloba";"sintenisii";"Coccoloba sintenisii";"uvero de monte";NA;6666;NA;NA;NA
"757";"21047";"Coccoloba";"swartzii";"Coccoloba swartzii";"Swartz's pigeonplum";NA;6668;NA;NA;NA
"758";"21039";"Coccoloba";"uvifera";"Coccoloba uvifera";"seagrape";NA;6670;NA;NA;NA
"759";"21048";"Coccoloba";"venosa";"Coccoloba venosa";"false chiggergrape";NA;6671;NA;NA;NA
"760";"42448";"Coccothrinax";"argentata";"Coccothrinax argentata";"Florida silver palm";NA;907;NA;NA;NA
"761";"501601";"Coccothrinax";"barbadensis";"Coccothrinax barbadensis";"Coccothrinax barbadensis";NA;6673;NA;NA;NA
"762";"501604";"Cochlospermum";"vitifolium";"Cochlospermum vitifolium";"silk cottontree";NA;6679;NA;NA;NA
"763";NA;"Cocos";"spp.";"Cocos";"coconut palm";NA;6681;NA;NA;NA
"764";"42451";"Cocos";"nucifera";"Cocos nucifera";"coconut palm";NA;908;NA;NA;NA
"765";"28259";"Codiaeum";"variegatum";"Codiaeum variegatum";"garden croton";NA;6683;NA;NA;NA
"766";"506731";"Metroxylon";"amicarum";"Coelococcus amicarum";"ivory-nut palm";NA;7798;NA;NA;NA
"767";NA;"Coffea";"spp.";"Coffea";"coffee";NA;6687;NA;NA;NA
"768";"35190";"Coffea";"arabica";"Coffea arabica";"Arabian coffee";NA;6684;NA;NA;NA
"769";"501606";"Coffea";"liberica";"Coffea liberica";"Coffea liberica";NA;6686;NA;NA;NA
"770";"501607";"Cojoba";"arborea";"Cojoba arborea";"Cojoba arborea";NA;6688;NA;NA;NA
"771";"506101";"Cola";"acuminata";"Cola acuminata";"abata cola";NA;6689;NA;NA;NA
"772";NA;"Colubrina";"spp.";"Colubrina";"nakedwood";NA;6699;NA;NA;NA
"773";"28520";"Colubrina";"arborescens";"Colubrina arborescens";"greenheart";NA;6693;NA;NA;NA
"774";"28521";"Colubrina";"asiatica";"Colubrina asiatica";"Asian nakedwood";NA;6694;NA;NA;NA
"775";"28524";"Colubrina";"elliptica";"Colubrina elliptica";"soldierwood";NA;864;NA;NA;NA
"776";"28528";"Colubrina";"oppositifolia";"Colubrina oppositifolia";"kauila";NA;6697;NA;NA;NA
"777";"501613";"Colubrina";"verrucosa";"Colubrina verrucosa";"Urban's nakedwood";NA;6700;NA;NA;NA
"778";"507285";"Combretum";"tetralophum";"Combretum tetragonocarpum var. tetralophum";"ochaol";NA;6702;NA;NA;NA
"779";NA;"Commersonia";"bartramia";"Commersonia bartramia";"Mao";NA;6703;NA;NA;NA
"780";"28797";"Comocladia";"dodonaea";"Comocladia dodonaea";"poison ash";NA;6705;NA;NA;NA
"781";"501619";"Comptonia";"peregrina";"Comptonia peregrina";NA;"Comptonie voyageuse";NA;"COP";NA;NA
"782";"28533";"Condalia";"hookeri";"Condalia hookeri";"Bluewood";NA;867;NA;NA;NA
"783";NA;"Conocarpus";"spp.";"Conocarpus";"mangrove";NA;6709;NA;NA;NA
"784";"27766";"Conocarpus";"erectus";"Conocarpus erectus";"buttonwood-mangrove";NA;987;NA;NA;NA
"785";"565081";"Conostegia";"rufescens";"Conostegia rufescens";"Luquillo Mountain snailwood";NA;6710;NA;NA;NA
"786";"511288";"Consolea";"moniliformis";"Consolea moniliformis";"Consolea moniliformis";NA;6711;NA;NA;NA
"787";"506244";"Copaifera";"officinalis";"Copaifera officinalis";"copaiba";NA;6714;NA;NA;NA
"788";NA;"Coprosma";"spp.";"Coprosma";"mirrorplant";NA;6724;NA;NA;NA
"789";"34967";"Coprosma";"foliosa";"Coprosma foliosa";"forest mirrorplant";NA;6716;NA;NA;NA
"790";"34968";"Coprosma";"kauensis";"Coprosma kauensis";"koi";NA;6717;NA;NA;NA
"791";"34969";"Coprosma";"longifolia";"Coprosma longifolia";"Oahu mirrorplant";NA;6718;NA;NA;NA
"792";"34972";"Coprosma";"montana";"Coprosma montana";"alpine mirrorplant";NA;6719;NA;NA;NA
"793";"34973";"Coprosma";"ochracea";"Coprosma ochracea";"Maui mirrorplant";NA;6720;NA;NA;NA
"794";"34974";"Coprosma";"pubens";"Coprosma pubens";"pubescent mirrorplant";NA;6721;NA;NA;NA
"795";"34975";"Coprosma";"rhynchocarpa";"Coprosma rhynchocarpa";"woodland mirrorplant";NA;6722;NA;NA;NA
"796";"34980";"Coprosma";"waimeae";"Coprosma waimeae";"olena";NA;6726;NA;NA;NA
"797";NA;"Cordia";"spp.";"Cordia";"cordia";NA;6741;NA;NA;NA
"798";"31751";"Cordia";"alliodora";"Cordia alliodora";"Spanish elm";NA;6728;NA;NA;NA
"799";"31744";"Cordia";"boissieri";"Cordia boissieri";"Anacahuita Texas Olive";NA;8651;NA;NA;NA
"800";"31754";"Cordia";"collococca";"Cordia collococca";"red manjack";NA;6731;NA;NA;NA
"801";"565085";"Cordia";"dichotoma";"Cordia dichotoma";"fragrant manjack";NA;6733;NA;NA;NA
"802";"501630";"Cordia";"laevigata";"Cordia laevigata";"smooth manjack";NA;6735;NA;NA;NA
"803";"31758";"Cordia";"obliqua";"Cordia obliqua";"clammy cherry";NA;6737;NA;NA;NA
"804";NA;"Cordia";"rupicola";"Cordia rupicola";"Puerto Rico manjack";NA;6739;NA;NA;NA
"805";"31748";"Cordia";"sebestena";"Cordia sebestena";"largeleaf geigertree";NA;865;NA;NA;NA
"806";"31764";"Cordia";"subcordata";"Cordia subcordata";"kou";NA;6742;NA;NA;NA
"807";NA;"Cordyline";"spp.";"Cordyline";"cordyline";NA;6745;NA;NA;NA
"808";"43183";"Cordyline";"fruticosa";"Cordyline fruticosa";"tiplant";NA;6744;NA;NA;NA
"809";NA;"Cornus";"spp.";"Cornus";"dogwood spp.";NA;490;NA;NA;NA
"810";"27813";"Cornus";"alternifolia";"Cornus alternifolia";NA;"Cornouiller à feuilles alternes";NA;"COA";NA;NA
"811";"27806";"Cornus";"florida";"Cornus florida";"flowering dogwood";NA;491;NA;NA;NA
"812";"27809";"Cornus";"nuttallii";"Cornus nuttallii";"Pacific dogwood";NA;492;NA;NA;NA
"813";NA;"Cornus";"stonolifera";"Cornus stolonifera";NA;"Cornouiller stolonifère";NA;"COR";NA;NA
"814";"32234";"Cornutia";"obovata";"Cornutia obovata";"nigua";NA;6746;NA;NA;NA
"815";"32235";"Cornutia";"pyramidata";"Cornutia pyramidata";"azulejo";NA;6747;NA;NA;NA
"816";"19507";"Corylus";"cornuta";"Corylus cornuta";NA;"Noisetier à long bec";NA;"COC";NA;NA
"817";"834900";"Corymbia";"calophylla";"Corymbia calophylla";"redgum";NA;6749;NA;NA;NA
"818";"834901";"Corymbia";"citriodora";"Corymbia citriodora";"Corymbia citriodora";NA;6750;NA;NA;NA
"819";"834902";"Corymbia";"ficifolia";"Corymbia ficifolia";"redflower gum";NA;6751;NA;NA;NA
"820";"834903";"Corymbia";"gummifera";"Corymbia gummifera";"red bloodwood";NA;6752;NA;NA;NA
"821";"28801";"Cotinus";"obovatus";"Cotinus obovatus";"smoketree";NA;996;NA;NA;NA
"822";"506154";"Couroupita";"guianensis";"Couroupita guianensis";"cannonball tree";NA;6756;NA;NA;NA
"823";"24539";"Crataegus";"sp.";"Crataegus";NA;"Aubépine";NA;"CRA";NA;NA
"824";"24539";"Crataegus";"spp.";"Crataegus";"Hawthorn";NA;NA;NA;"Ht";128
"825";NA;"Crataegus";"spp.";"Crataegus";"hawthorn spp.";NA;500;NA;NA;NA
"826";"24546";"Crataegus";"brainerdii";"Crataegus brainerdii";"Brainerd's hawthorn";NA;503;NA;NA;NA
"827";"24547";"Crataegus";"calpodendron";"Crataegus calpodendron";"pear hawthorn";NA;504;NA;NA;NA
"828";"24548";"Crataegus";"chrysocarpa";"Crataegus chrysocarpa";"fireberry hawthorn";NA;505;NA;NA;NA
"829";"24552";"Crataegus";"crus-galli";"Crataegus crus-galli";"cockspur hawthorn";NA;501;NA;NA;NA
"830";NA;"Crataegus";"dilatata";"Crataegus dilatata";"broadleaf hawthorn";NA;506;NA;NA;NA
"831";"24561";"Crataegus";"flabellata";"Crataegus flabellata";"fanleaf hawthorn";NA;507;NA;NA;NA
"832";"24585";"Crataegus";"mollis";"Crataegus mollis";"downy hawthorn";NA;502;NA;NA;NA
