"";"tsn";"genus";"species";"itis_acceptedname";"en_common";"fr_common";"us_code";"qc_code";"on_alpha_code";"on_tree_code"
"150";NA;"Casuarina";"lepidophloia";"";"belah";NA;857;NA;NA;NA
"151";NA;"Casuarina";"litorea";"";"gagu,australian pine";NA;6437;NA;NA;NA
"152";NA;"Cerbera";"dilatata";"";"chuti";NA;6459;NA;NA;NA
"153";NA;"Charpentiera";"spp.";"";"papala";NA;6503;NA;NA;NA
"154";NA;"Cheirodendron";"spp.";"";"cheirodendron";NA;6513;NA;NA;NA
"155";NA;"Cinnamomum";"carolinense";"";"ochod";NA;6557;NA;NA;NA
"156";NA;"Cinnamomum";"pedatinervium";"";"ochod";NA;6561;NA;NA;NA
"157";NA;"Citrus";"xparadisi";"";"grapefruit";NA;6576;NA;NA;NA
"158";NA;"Claoxylon";"fallax";"";"Claoxylon fallax";NA;6588;NA;NA;NA
"159";NA;"Clermontia";"leptoclada";"";"oha wai nui Clermontia";NA;6596;NA;NA;NA
"160";NA;"Clermontia";"spp.";"";"clermontia";NA;6628;NA;NA;NA
"161";NA;"Colona";"scabra";"";"uab, chuchab";NA;6691;NA;NA;NA
"162";NA;"Cordia";"aspera";"";"Tou";NA;6729;NA;NA;NA
"163";NA;"Corynocarpus";"spp.";"";"corynocarpus";NA;6755;NA;NA;NA
"164";NA;"Crossostylis";"biflora";"";"Saitamu";NA;6769;NA;NA;NA
"165";NA;"Cryptocarya";"elegans";"";"laulilii";NA;6779;NA;NA;NA
"166";NA;"Cryptocarya";"oreophila";"";"Cryptocarya oreophila";NA;6778;NA;NA;NA
"167";NA;"Cryptocarya";"turbinata";"";"laulilii";NA;6784;NA;NA;NA
"168";NA;"Cupressus";"lusitanica";"";"cedar-of-Goa";NA;6795;NA;NA;NA
"169";NA;"Cyanea";"spp.";"";"cyanea";NA;6828;NA;NA;NA
"170";NA;"Delissea";"spp.";"";"delissea";NA;6881;NA;NA;NA
"171";NA;"Diospyros";"elliptica";"";"anume";NA;6904;NA;NA;NA
"172";NA;"Diospyros";"samoensis";"";"auauli";NA;6910;NA;NA;NA
"173";NA;"Discocalyx";"ponapensis";"";"otot";NA;6921;NA;NA;NA
"174";NA;"Dubautia";"fallax";"";"Dubautia";NA;6945;NA;NA;NA
"175";NA;"Dubautia";"spp.";"";"dubautia";NA;6958;NA;NA;NA
"176";NA;"Dysoxylum";"samoense";"";"mamala";NA;6970;NA;NA;NA
"177";NA;"Elaeocarpus";"floridanus";"";"`a`mati`e";NA;6977;NA;NA;NA
"178";NA;"Elaeocarpus";"graeffei";"";"Elaeocarpus graeffei";NA;6978;NA;NA;NA
"179";NA;"Elaeocarpus";"grandis";"";"sapatua";NA;6979;NA;NA;NA
"180";NA;"Elaeocarpus";"kerstingianus";"";"Elaeocarpus kerstingianus";NA;6981;NA;NA;NA
"181";NA;"Elaeocarpus";"kusanoi";"";"maratte, opop";NA;6982;NA;NA;NA
"182";NA;"Elaeocarpus";"tonganus";"";"aamatie";NA;6984;NA;NA;NA
"183";NA;"Elaeocarpus";"ulianus";"";"Elaeocarpus";NA;6985;NA;NA;NA
"184";NA;"Euodia";"hortensis";"";"Euodia hortensis";NA;7123;NA;NA;NA
"185";NA;"Euodia";"nitida";"";"kertub";NA;7124;NA;NA;NA
"186";NA;"Exocarpos";"spp.";"";"exocarpos";NA;7132;NA;NA;NA
"187";NA;"Fagraea";"ksid";"";"ksid";NA;7142;NA;NA;NA
"188";NA;"Ficus";"obliqua";"";"aoa";NA;7163;NA;NA;NA
"189";NA;"Ficus";"uniauriculata";"";"mati";NA;7178;NA;NA;NA
"190";NA;"Garcinia";"matsudai";"";"tilol";NA;7215;NA;NA;NA
"191";NA;"Garcinia";"ponapensis";"";"konpuil";NA;7217;NA;NA;NA
"192";NA;"Garcinia";"rumiyo";"";"tilol";NA;7219;NA;NA;NA
"193";NA;"Gironniera";"celtidifolia";"";"Gironniera celtidifolia";NA;7241;NA;NA;NA
"194";NA;"Gmelina";"elliptica";"";"belau";NA;7251;NA;NA;NA
"195";NA;"Gmelina";"palawensis";"";"blacheos";NA;7252;NA;NA;NA
"196";NA;"Goniothalamus";"carolinensis";"";"Goniothalamus carolinensis";NA;7260;NA;NA;NA
"197";NA;"Guioa";"spp.";"";"Guioa";NA;7312;NA;NA;NA
"198";NA;"Haplolobus";"floribundus";"";"Haplolobus floribundus";NA;7332;NA;NA;NA
"199";NA;"Hedycarya";"denticulata";"";"denticulata";NA;7338;NA;NA;NA
"200";NA;"Hedycarya";"spp.";"";"Hedycarya";NA;7340;NA;NA;NA
"201";NA;"Hedyotis";"hillebrandii";"";"manono";NA;7344;NA;NA;NA
"202";NA;"Hernandia";"moerenhoutiana";"";"pipi";NA;7363;NA;NA;NA
"203";NA;"Hesperomannia";"spp.";"";"island-aster";NA;7373;NA;NA;NA
